,context,question,answer
0,"On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.","january 7, 2012 on january 7, 2012, beyonce gave birth to her first child, a daughter, blue ivy carter, at lenox hill hospital in new york. five months later, she performed for four nights at revel atlantic city's ovation hall to celebrate the resort's opening, her first performances since giving birth to blue ivy.","January 7, 2012"
1,"On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.","blue ivy carter on january 7, 2012, beyonce gave birth to her first child, a daughter, blue ivy carter, at lenox hill hospital in new york. five months later, she performed for four nights at revel atlantic city's ovation hall to celebrate the resort's opening, her first performances since giving birth to blue ivy.",Blue Ivy Carter
2,"On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.","lenox hill hospital in new york. on january 7, 2012, beyonce gave birth to her first child, a daughter, blue ivy carter, at lenox hill hospital in new york. five months later, she performed for four nights at revel atlantic city's ovation hall to celebrate the resort's opening, her first performances since giving birth to blue ivy.",Lenox Hill Hospital in New York.
3,"On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.","revel atlantic city's ovation hall on january 7, 2012, beyonce gave birth to her first child, a daughter, blue ivy carter, at lenox hill hospital in new york. five months later, she performed for four nights at revel atlantic city's ovation hall to celebrate the resort's opening, her first performances since giving birth to blue ivy.",Revel Atlantic City's Ovation Hall
4,"On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.","four on january 7, 2012, beyonce gave birth to her first child, a daughter, blue ivy carter, at lenox hill hospital in new york. five months later, she performed for four nights at revel atlantic city's ovation hall to celebrate the resort's opening, her first performances since giving birth to blue ivy.",four
5,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","romance in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",romance
6,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","life is but a dream in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",Life Is But a Dream
7,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","global publishing agreement in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",global publishing agreement
8,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","january 2013 in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",January 2013
9,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted about moment in history at 268,000 tweets per minute. At the 55th Annual Grammy Awards, Beyoncé won for Best Traditional R&B Performance for ""Love on Top"". Her feature-length documentary film, Life Is But a Dream, first aired on HBO on February 16, 2013. The film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following Blue Ivy's birth. Its DVD release in November 2013 was accompanied by footage from the Revel Presents: Beyoncé Live concerts and a new song, ""God Made You Beautiful"". In February 2013, Beyoncé signed a global publishing agreement with Warner/Chappell Music, which would cover her future songwriting and then-upcoming studio album.","nuclear in january 2013, destiny's child released love songs, a compilation album of the romance - themed songs from their previous albums and a newly recorded track, "" nuclear "". beyonce performed the american national anthem singing along with a pre - recorded track at president obama's second inauguration in washington, d. c. the following month, beyonce performed at the super bowl xlvii halftime show, held at the mercedes - benz superdome in new orleans. the performance stands as the second most tweeted about moment in history at 268, 000 tweets per minute. at the 55th annual grammy awards, beyonce won for best traditional r & b performance for "" love on top "". her feature - length documentary film, life is but a dream, first aired on hbo on february 16, 2013. the film, which she directed and produced herself, featured footage from her childhood, her as a mother and businesswoman, recording, rehearsing for live performances, and her return to the spotlight following blue ivy's birth. its dvd release in november 2013 was accompanied by footage from the revel presents : beyonce live concerts and a new song, "" god made you beautiful "". in february 2013, beyonce signed a global publishing agreement with warner / chappell music, which would cover her future songwriting and then - upcoming studio album.",Nuclear
